user_id,product_id,quant
2300,6365318,86
836051,2365635,137
194499,4621214,42
682156,1264482,117
137155,7530187,138
562853,2180993,233
134943,207268,23
599198,9659414,147
484021,9186183,119
201871,4403123,247
139771,4608939,212
220945,6588812,120
137065,153811,62
134280,3643758,212
260973,5563802,15
654480,8119654,209
134377,9835923,138
295218,7273574,133
766800,3032637,234
13516,1301377,147
360303,9444383,212
133844,786656,138
648216,3263206,210
835557,607956,215
381863,638484,112
757631,6924861,88
418453,1665483,131
831118,9099999,240
862886,3601691,159
134417,6708263,70
318302,9534744,124
878308,4428799,7
88064,1811511,103
133300,862942,70
553946,3868956,33
475374,7632704,145
89028,7080120,230
482056,54268,54
646477,8595208,60
372976,119168,132
754441,6529869,183
529368,8472721,131
498873,2907719,176
422055,9894479,200
653550,7663189,231
682611,6842923,180
495244,8673888,22
897485,3160110,83
730939,1047752,205
797703,1950434,148
674406,4997455,38
405694,7933264,197
902483,5846823,5
851165,9457656,84
998629,8770911,168
22782,3147600,225
217699,5004079,53
882807,9910647,177
4538,152646,17
589318,6385349,145
433544,1170760,120
423544,9865883,244
642642,7914976,184
542344,7166989,23
27724,746109,89
171271,7824159,241
274753,6756420,51
221293,2810649,76
897166,281545,20
617731,5666173,72
662482,9802169,156
109083,9906178,142
826063,4668334,201
392136,1765748,63
884162,5531064,247
807890,1771425,116
542431,1204952,203
654159,2637960,49
426000,1766302,174
490106,564442,44
413950,7547898,140
77410,2215555,25
952270,9510304,128
253489,1892301,229
850578,4770779,48
306808,787812,218
511196,986056,232
63440,5969337,39
92034,2819860,5
424895,9476948,79
749535,3095577,104
622735,8026501,103
782884,3328099,20
975128,258288,37
416755,7494681,206
69278,9658773,15
136151,4437572,8
382714,63701,166
640301,6447395,141
361882,9848855,12
125752,8982541,157
413906,7285039,22
921243,8989587,175
345680,4456985,66
827709,5831134,228
958408,3654018,118
766404,4527630,80
474239,7755900,10
427766,4719607,27
316045,8468641,116
961445,3135624,44
938518,5759077,135
126022,8198727,219
628239,3599007,139
75232,387801,8
414612,61066,196
715475,6636695,31
903068,5783636,7
858939,8032028,76
320862,4745589,187
935008,6120648,224
755471,9610568,169
499533,995331,86
835084,1104647,156
439335,1881126,143
542844,9272180,219
72110,3702654,8
982929,2487154,181
479995,9073859,39
431142,1810133,141
373716,1319350,94
6079,4000568,81
40292,4490520,23
878156,1257371,93
926982,344925,48
255432,9955148,220
1078,7688862,71
908888,1433937,5
270818,3634076,220
836645,5015769,2
924541,6556951,244
578671,1089644,148
895380,4792096,51
932483,497634,123
908012,4652429,158
561434,4500951,109
163913,8049497,17
436943,3899081,120
566232,710625,35
932842,672798,172
238917,6777938,10
837850,5434709,84
450308,9379193,198
875970,3484504,210
100709,7573768,195
531576,6119792,111
687758,6750956,89
665102,1798363,88
974919,21894,42
592858,8309975,123
376914,8092374,126
357127,2541007,80
202605,7705181,190
11276,2237208,185
119030,6702871,100
490480,8307737,123
194808,6603283,6
384103,8500363,19
284641,5148995,219
426088,6941808,167
829970,3152894,223
60972,3563161,205
8816,4234010,161
923835,5301394,86
351871,4350251,158
400155,2077694,37
512043,6814841,184
404358,2663294,156
706981,1986489,168
156150,4671970,2
807262,6573645,96
891893,6575343,226
257089,3190750,98
135432,999465,66
5852,4741808,16
799644,4941913,238
947145,7775485,103
712334,1597085,37
675711,9584097,43
1901,1978710,44
935783,2334989,212
317053,9275613,15
54770,5433145,164
619060,179453,244
173231,7713521,61
991976,8116821,199
651240,6084622,124
927997,3413024,111
603727,704435,141
750957,1056766,140
451645,6449948,220
91993,5593965,214
937295,1101157,128
974968,4771544,231
650702,8845759,61
515127,6736905,4
591422,8532371,193
59851,1704773,225
105032,7377033,172
146085,3123626,129
745536,1422249,54
277387,4586501,126
307432,1840038,192
94401,3153065,164
46006,9472934,241
155494,8376292,133
671723,8093933,77
740503,2981187,23
858313,830576,140
669463,1513798,243
125926,9239523,18
490351,8488337,117
439919,5200367,163
519081,9199213,90
498694,2426991,9
32494,6941093,26
748783,9763808,99
429330,3824113,15
79580,3925450,8
752603,4726837,194
698425,2841576,139
640460,5246430,208
472958,2037213,119
874011,1357496,182
589133,1542606,125
392287,4646090,191
408736,5344097,228
61343,8565269,65
601607,4095561,180
909829,262435,174
682034,5666441,52
129070,5442254,247
826925,2805238,147
625579,6317360,34
240513,242738,133
656948,96536,238
714393,2739862,189
145684,2171543,197
19381,4150630,130
109006,7869054,110
944042,7490971,223
205291,1696551,157
366301,7099074,9
481439,7684317,206
399128,9224618,169
792694,1587509,206
995226,3564999,122
925116,7624438,103
674851,3582604,164
238180,3629520,147
743567,340382,225
337972,5222529,35
154080,8334487,31
469690,8363904,133
48334,5351614,51
135353,7489186,76
542768,1761247,82
823501,1040498,147
977616,7646273,93
180858,1209446,247
213324,9951387,25
